District,Best_Crop,Yield_kg_per_ha,MSP_Rs_per_quintal,Profit_Rs_per_acre,Reason
Amritsar,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Bathinda,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Firozpur,Moong,600,7000,11597,"Fixes nitrogen, high MSP (₹7000/q), low input cost"
Faridkot,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Ludhiana,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Moga,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Sangrur,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Patiala,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Jalandhar,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Hoshiarpur,Moong,600,7000,11597,"Fixes nitrogen, high MSP (₹7000/q), low input cost"
Kapurthala,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Mansa,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Barnala,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Tarn Taran,Moong,600,7000,11597,"Fixes nitrogen, high MSP (₹7000/q), low input cost"
SBS Nagar,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Rupnagar,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Shaheed Bhagat Singh Nagar,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Pathankot,Moong,600,7000,11597,"Fixes nitrogen, high MSP (₹7000/q), low input cost"
Fazilka,Moong,600,7000,11597,"Fixes nitrogen, high MSP (₹7000/q), low input cost"
Gurdaspur,Moong,600,7000,11597,"Fixes nitrogen, high MSP (₹7000/q), low input cost"
Sri Muktsar Sahib,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
Fatehgarh Sahib,Wheat,5077,2125,34461,"Stable MSP, suits neutral pH, high-yield zones"
