District,Wheat,Rice,Bajra,Maize,Moong,Arhar,Sugarcane,Best_Crop
Amritsar,10.65,10.25,10.65,9.25,10.65,10.65,10.25,Wheat
Bathinda,10.29,9.93,10.46,7.92,10.46,10.29,9.93,Bajra
Firozpur,10.85,10.58,10.85,9.58,10.85,10.85,10.58,Wheat
Faridkot,7.93,7.6,9.27,6.6,8.27,7.93,7.6,Bajra
Ludhiana,11.04,10.91,11.04,9.91,11.04,11.04,10.91,Wheat
Moga,11.25,11.25,11.25,10.25,11.25,11.25,11.25,Wheat
Sangrur,7.58,7.28,9.08,6.28,8.08,7.58,7.28,Bajra
Patiala,10.28,9.9,10.37,7.9,10.37,10.28,9.9,Bajra
Jalandhar,11.29,11.29,11.29,11.29,11.29,11.29,11.29,Wheat
Hoshiarpur,11.33,11.33,9.33,11.33,11.33,11.33,11.33,Wheat
Kapurthala,11.38,11.38,10.38,11.38,11.38,11.38,11.38,Wheat
Mansa,7.23,6.97,8.68,5.97,7.68,7.23,6.97,Bajra
Barnala,8.94,8.59,10.19,7.59,9.19,8.94,8.59,Bajra
Tarn Taran,10.95,10.75,10.95,9.75,10.95,10.95,10.75,Wheat
SBS Nagar,10.75,10.42,10.75,9.42,10.75,10.75,10.42,Wheat
Rupnagar,11.27,11.27,11.27,10.27,11.27,11.27,11.27,Wheat
Shaheed Bhagat Singh Nagar,10.75,10.42,10.75,9.42,10.75,10.75,10.42,Wheat
Pathankot,11.42,11.42,9.42,11.42,11.42,11.42,11.42,Wheat
Fazilka,6.88,6.65,8.27,5.65,7.27,6.88,6.65,Bajra
Gurdaspur,11.4,11.4,9.4,11.4,11.4,11.4,11.4,Wheat
Sri Muktsar Sahib,7.76,7.44,9.18,6.44,8.18,7.76,7.44,Bajra
Fatehgarh Sahib,10.55,10.15,10.55,9.15,10.55,10.55,10.15,Wheat
