District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
Gurdaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(c) ,0,0.2,(c) ,2,0.5,4,3,0.1,0.1
Pathankot,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.5,0.2,0.9,0.1,0.7,1,0.3,0.2,0.3,3.9,5,6.2,19,14,0.9,0.8
Tarn Taran,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.1,0.2,0.4,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,0,0,0,0,0.1,0.4,0.2,0.5,0.7,1.3,1.5,1.6,3.2,3.2,3,1,3.3,1.8,2,1.2,1.3,0.6,2.9,4,6,10,5,2.7,2.6
Jalandhar,0,0,0,0,0.2,0.8,1.4,1.4,2.7,3.5,4.5,6.9,6,7,6.7,5.5,6.9,3.8,5,3.1,2.6,1.8,5.8,15,10.2,18,16,5.8,13.8
SBS Nagar,0,0,0.1,0,0.1,0.4,0.7,1,1.1,1,2,0.8,2,1.5,1.5,0.8,1.6,2.1,1,1.1,0.7,0.2,1.3,2,3.3,5,0,NA,NA
Hoshiarpur,0,0,0,0,0,0.7,1.2,1.5,1.5,1.5,1.5,1.1,3.5,3.1,3,4,3.8,3.8,7,2.2,1.2,1.7,3.4,14,9.6,24,24,11.5,12.8
Rupnagar,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0.1,(c) ,0.3,1,0,0.1,(c) ,0.1,2,0,5,3,(a),(a)
SAS Nagar,0.6,0.3,0.6,1,0.6,0.9,0,1,1.1,1.8,1.2,0.9,1.1,0.2,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,0,0,0.1,1,1.2,1.1,1.4,1,1,1.2,1.3,1.9,1.9,1.3,2.1,1.3,1.6,1.8,1,1.2,0.6,0.5,1.4,3,3.7,5,3,2.1,1.2
Ferozepur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(c) ,(c) ,0,0.5,3,0.9,4,5,0,4.5
Fazilka,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0.8,3,14,7,15
Sri Muktsar Sahib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,(c) ,0.2,0.6,7,8.1,9,0,NA,NA
Moga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,1,0.1,5,0,NA,NA
Bathinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(c) ,0,0,(c) ,1,0.8,1,2,1.4,3.5
Mansa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,(a),0.2
Sangrur,0,0,0,0,0,0,0,0,0.1,0.1,0,(c) ,0,(c) ,(c) ,0,0,0,0,0,(c) ,(c) ,(c) ,0,0.1,1,1,0.1,0.3
Barnala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,0.3,0.7,1.1,1,1.5,0.8,0.6,1,1.3,1,0.6,0.9,1.6,2.2,0.8,0.6,0.9,1.3,2,1.4,0.7,0.5,1.3,6,4.7,14,12,4.7,2.6
Fatehgarh Sahib,0.4,1.5,2.4,2.0,2.4,0.7,0,0.9,1.1,1,1.1,(c) ,2,0,1.8,0.7,(c) ,1.1,0,(c) ,(c) ,0.7,0.7,1,0.7,2,1,0.1,0.2
Punjab,1.3,2.5,4.3,5.0,6.1,5.8,5.5,8.5,10.8,12.6,14.4,14.6,21.9,19.4,19.7,15.3,18.9,16.7,20,10.6,7.4,6.9,22.2,67,55.8,129,103,36.4,57.6
